id,name,short_name
1,Concept note pipeline,Conc.N.Pip
2,On-going,On-go
3,Complete,Comp
4,Extended,Ext
5,Cancelled,Canc
7,Informally Confirmed,Inf. Conf.
-1,Not Provided,NP
-2,Non Applicable,NAP
